"Producto","Producto_Base","Presentacion","Unidades_por_Caja","Descripción","Proveedor","Categoria","Imagenes"
"Villa Vittorua vinagre balsamico blanco 500 ml x 12","Villa Vittorua vinagre balsamico blanco","500 ml","12","","ACETIFICIO ANDREA MILANO","vinagres","extracted_images/user_upload/Villa_Vittorua_vinagre_balsamico_blanco_500_ml_x_12.png"
"LATTERIA SORESINA GRANA PADANO FORMA ENTERA","LATTERIA SORESINA GRANA PADANO FORMA ENTERA","","","","LATTERIA SORESINA ","quesos","extracted_images/user_upload/grana_padano_queso.jpeg"
"LATTERIA SORESINA GRANA FORCELLO 4KG X 2","LATTERIA SORESINA GRANA FORCELLO","4KG","2","","LATTERIA SORESINA ","quesos","extracted_images/user_upload/latteria_4kg_1.jpeg"
"LATTERIA SORESINA PADANO 1/8 ( 8 libras)","LATTERIA SORESINA PADANO 1/8 ( 8 libras)","","","","LATTERIA SORESINA ","quesos","extracted_images/user_upload/LATTERIA_SORESINA_PADANO_1_8___8_libras_.jpeg"
"LATTERIA SORESINA PADANO 1/16 ( 4 libras)","LATTERIA SORESINA PADANO 1/16 ( 4 libras)","","","","LATTERIA SORESINA ","quesos","extracted_images/user_upload/LATTERIA_SORESINA_PADANO_1_16___4_libras_.jpeg"
"LATTERIA GRANA PADANO 200G x 15","LATTERIA GRANA PADANO","200G","15","","LATTERIA SORESINA ","quesos","extracted_images/user_upload/LATTERIA_GRANA_PADANO_200G_x_15.png"
"LATTERIA SORESINA PARMEGGIANO REGGIANO 200GR x 15","LATTERIA SORESINA PARMEGGIANO REGGIANO","200GR","15","","LATTERIA SORESINA ","quesos","extracted_images/foto parmeggiano reggiano_0.png"
"LATTERIA SORESINA PROVOLONE DULCE ENTERO 6KG","LATTERIA SORESINA PROVOLONE DULCE ENTERO","6KG","","","LATTERIA SORESINA ","quesos","extracted_images/foto provolone dulce_0.png"
"GR. TAGLIATELLE LARGO / FETTUCINI g500x24","GR. TAGLIATELLE LARGO / FETTUCINI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/FOTO PASTAS_26.jpeg"
"GR. LINGUINE DI PASSERO g500x24","GR. LINGUINE DI PASSERO g500x24","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/FOTO PASTAS_11.jpeg"
"GR. LINGUINE g500x24","GR. LINGUINE g500x24","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/FOTO PASTAS_10.jpeg"
"GR. BUCATINI g500x24","GR. BUCATINI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/FOTO PASTAS_2.jpeg"
"GR. SPAGHETTI VERMICELLI g500x24","GR. SPAGHETTI VERMICELLI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/FOTO PASTAS_28.jpeg"
"GR. SPAGHETTI VERMICELLONI g500x24","GR. SPAGHETTI VERMICELLONI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/FOTO PASTAS_27.jpeg"
"GR. SPAGHETTI RISTORANTI g500x24","GR. SPAGHETTI RISTORANTI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/FOTO PASTAS_29.jpeg"
"GR. SPAGHETTINI g500x30","GR. SPAGHETTINI g500x30","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/FOTO PASTAS_4.jpeg"
"GR. CAPELLINI g500x24","GR. CAPELLINI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/FOTO PASTAS_13.jpeg"
"GR. RIGATONI g500x24","GR. RIGATONI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/FOTO PASTAS_1.jpeg"
"GR. MEZZI RIGATONI g500x24","GR. MEZZI RIGATONI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/FOTO PASTAS_30.jpeg"
"GR. PENNE RIGATE g500x24","GR. PENNE RIGATE g500x24","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/FOTO PASTAS_31.jpeg"
"GR. MEZZE PENNE RIGATE g500x24","GR. MEZZE PENNE RIGATE g500x24","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/FOTO PASTAS_0.jpeg"
"GR. GNOCCHI g500x24","GR. GNOCCHI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/FOTO PASTAS_33.png"
"GR. GOMITI g500x24","GR. GOMITI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/FOTO PASTAS_23.jpeg"
"GR. ROSMARINO g500x24 ( PASTA ORZO )","GR. ROSMARINO g500x24 ( PASTA ORZO )","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/user_upload/679851ed-cab2-47e2-9079-35692abdefcc.jpeg"
"GR. CONCHIGLIONI g500x12","GR. CONCHIGLIONI g500x12","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/user_upload/GR._CONCHIGLIONI_g500x12.jpeg"
"GR. PACCHERI g500x12","GR. PACCHERI g500x12","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/user_upload/GR._PACCHERI_g500x12.jpeg"
"GR. CANNELLONI g250x24","GR. CANNELLONI g250x24","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/user_upload/GR._CANNELLONI_g250x24.jpeg"
"GR. TAGLIATELLE UOVO g500x12","GR. TAGLIATELLE UOVO g500x12","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/user_upload/GR._TAGLIATELLE_UOVO_g500x12.jpeg"
"GR. TAGLIOLINI UOVO g500x12","GR. TAGLIOLINI UOVO g500x12","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/user_upload/GR._TAGLIOLINI_UOVO_g500x12.jpeg"
"GR. FETTUCCINI UOVO g500x12","GR. FETTUCCINI UOVO g500x12","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/user_upload/GR._FETTUCCINI_UOVO_g500x12.jpeg"
"GR.NIDI PAPARDELLE SEMOLAg500x12","GR.NIDI PAPARDELLE SEMOLAg500x12","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/user_upload/GR.NIDI_PAPARDELLE_SEMOLAg500x12.jpeg"
"GR. PAPARDELLE UOVOg500x12","GR. PAPARDELLE UOVOg500x12","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/FOTO PASTAS_42.jpeg"
"GR. LASAGNA SEMOLA g500x12","GR. LASAGNA SEMOLA g500x12","","","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/FOTO PASTAS_39.jpeg"
"GR. COUS COUS KG.1X10","GR. COUS COUS KG.1X10","","","","Pastificio Attilio Mastromauro srl","Cous cous","extracted_images/FOTO PASTAS_41.jpeg"
"GR.SPAGHETTI INTEGRAL 500 GR X 20","GR.SPAGHETTI INTEGRAL","500 GR","20","","Pastificio Attilio Mastromauro srl","Pastas integrales","extracted_images/FOTO PASTAS_37.jpeg"
"GR.PENNE INTEGRAL 500 GR X 20","GR.PENNE INTEGRAL","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas integrales","extracted_images/FOTO PASTAS_36.jpeg"
"GR SPAGHETTI  DONNA CHIARA 500 GR X 24","GR SPAGHETTI DONNA CHIARA","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas","extracted_images/user_upload/GR_SPAGHETTI_DONNA_CHIARA_500_GR_X_24.png"
