"Producto","Producto_Base","Presentacion","Unidades_por_Caja","Descripción","Proveedor","Categoria","Imagenes"
"Gran Pasticceria Tortina Mini 90g x14 Original","Gran Pasticceria Tortina Mini Original","90g","14","","LOACKER SPA","galletas","extracted_images/galletas loacker_20.jpeg"
"Gran Pasticceria 100g x18 Coconut","Gran Pasticceria Coconut","100g","18","","LOACKER SPA","galletas","extracted_images/galletas loacker_15.jpeg"
"Gran Pasticceria 100g x18 Creme Noisette","Gran Pasticceria Creme Noisette","100g","18","","LOACKER SPA","galletas","extracted_images/galletas loacker_22.jpeg"
"Gran Pasticceria 100g x18 Cappuccino","Gran Pasticceria Cappuccino","100g","18","","LOACKER SPA","galletas","extracted_images/galletas loacker_16.jpeg"
"LOACKER LESS SUGAR HAZELNUT 175 GR X 18","LOACKER LESS SUGAR HAZELNUT","175 GR","18","","LOACKER SPA","galletas","extracted_images/user_upload/c85cdb53-2bd8-43d1-8e6a-1048df821b38.jpeg"
"LOACKER LESS SUGAR CHOCOLATE 175 GR X 18","LOACKER LESS SUGAR CHOCOLATE","175 GR","18","","LOACKER SPA","galletas","extracted_images/user_upload/1890e254-4af0-40fa-972e-a9a34eb33225.jpeg"
"QUADRATINI LESS SUGAR CHOCOLATE 110 GR X 12","QUADRATINI LESS SUGAR CHOCOLATE","110 GR","12","","LOACKER SPA","galletas","extracted_images/galletas loacker_10.png"
"QUADRATINI LESS SUGAR HAZELNUT 110 GR X 12","QUADRATINI LESS SUGAR HAZELNUT","110 GR","12","","LOACKER SPA","galletas","extracted_images/galletas loacker_7.png"
"TOMATES PELADOS VALLE DEL SOL 2550 gr x 6","TOMATES PELADOS VALLE DEL SOL","2550 gr","6","","VALLE DEL SOL","Tomates pelados Italianos","extracted_images/tomates pelados valle del sol_0.jpeg"
"TOMATES PELADO LA TORRENTE","TOMATES PELADO LA TORRENTE","","","Tomates Enteros Pelados La Torrente están elaborados con los mejores tomates italianos, recolectados en su punto justo de madurez y pelados cuidadosamente para mantener todo el auténtico sabor del tomate fresco. Ideales para salsas, salsas, sopas y muchas otras recetas.","LA TORRENTE","Tomates pelados Italianos","extracted_images/tomates pelados la torrente_0.png"
"GR PASSATA DI POMODORO 690 GR X 12","GR PASSATA DI POMODORO","690 GR","12","","Pastificio Attilio Mastromauro srl","Salsa passata di pomodorp","extracted_images/user_upload/image001__6_.jpg"
"GR TOMATES PELADOS 400 GR X 24","GR TOMATES PELADOS","400 GR","24","","Pastificio Attilio Mastromauro srl","Tomates pelados Italianos","extracted_images/user_upload/image001__8_.jpg"
"GR TOMATES PELADOS 800 GR X 12","GR TOMATES PELADOS","800 GR","12","","Pastificio Attilio Mastromauro srl","Tomates pelados Italianos","extracted_images/user_upload/image001__11_.png"
"CROISSANT CACAO 6pcs X 12","CROISSANT CACAO 6pcs","","12","","BAULI","croissant","extracted_images/user_upload/CROISSANT_CACAO_6pcs_X_12.jpg"
"CROISSANT CREMA 6pcs X 12","CROISSANT CREMA 6pcs","","12","","BAULI","croissant","extracted_images/user_upload/CROISSANT_CREMA_6pcs_X_12.jpg"
"CROISSANT ALBICOCCA 6pcs X 12","CROISSANT ALBICOCCA 6pcs","","12","","BAULI","croissant","extracted_images/user_upload/CROISSANT_ALBICOCCA_6pcs_X_12_-___APRICOT.jpg"
"CROISSANT CILIEGIA 6pcs 12","CROISSANT CILIEGIA 6pcs 12","","","","BAULI","croissant","extracted_images/user_upload/image001__6_.png"
"GRANORO FARINA 00 1 KG X 10","GRANORO FARINA 00","1 KG","10","La Harina 00 con W180 es el producto obtenido de la molienda del trigo candeal, muy utilizado en la panificación y en la producción de pasta fresca. La molienda del trigo candeal produce entre un 70% y un 82% de harina, porcentaje que varía en función del grano, el tipo de trigo y el tipo de molienda. La harina 00 Granoro se obtiene de la extracción de la parte central del grano de trigo candeal, se produce con un bajo rendimiento de extracción y, por lo tanto, es de mayor calidad; se elabora a partir de una mezcla especialmente seleccionada de granos blandos, especialmente diseñada para uso doméstico. La Harina 00 Granoro se puede utilizar para preparar pan, pasta, pasteles y se recomienda para rebozar.","Pastificio Attilio Mastromauro srl","harinas","extracted_images/user_upload/e2489955-12d6-4e51-b2aa-a5c1dc367b7c.jpeg"
"GRANORO FARINA 0 PER PIZZA 1 KG X 10","GRANORO FARINA 0 PER PIZZA","1 KG","10","La Harina ""0"" para PIZZAS Granoro tiene un valor de W equivalente a 250 y una mayor absorción de agua en comparación con las harinas comunes. La harina ""0"" es menos refinada que la anterior y contiene más salvado, es decir el producto procedente de la parte más exterior del grano. Es ideal para pizzas, focaccias y todas las masas que requieran una fermentación medio-larga.","Pastificio Attilio Mastromauro srl","harinas","extracted_images/user_upload/7ebc39a2-70f4-406e-bc73-8da2b30882d3.jpeg"
"GRANORO SEMOLA DE GRANO DURO 500 GR X10","GRANORO SEMOLA DE GRANO DURO","500 GR","10","La Semola Remolida se caracteriza por una granulometria sutil, que confiere una buena capacidad de absorción de agua y facilidad de mezcla. Se recomienda sola o mezclada con harina ""00"" para la preparación de pasta fresca: lasañas, tagliolini, orecchiette de Puglia o para pasta rellena. También es ideal para el pan, la pizza y la focaccia. Excelente para obtener frituras doradas y crujientes.","Pastificio Attilio Mastromauro srl","harinas","extracted_images/harina y semola granoro_0.jpeg"
"MOLINO DALLA GIOVANNA FARINA 00 LA NAPOLETANA 25 KG","MOLINO DALLA GIOVANNA FARINA 00 LA NAPOLETANA","25 KG","","Harina de trigo blando La Napoletana, tipo 00 W 310 P/L 0.60 sacos de 25 kg La Napoletana: para una corteza dorada y perfectamente desarrollada, una masa suave y elástica. ¡Una harina auténtica, ideal para el verdadero pizzero napolitano","MOLINO DALLA GIOVANNA","harinas","extracted_images/user_upload/5b69c9fb-a314-4978-9a52-ff73b9357c11.png"
"MOLINA DALLA GIOVANNA FARINA 00 R PER PIZZA 25 KG GREEN","MOLINA DALLA GIOVANNA FARINA 00 R PER PIZZA GREEN","25 KG","","R VERDE: Harina de trigo blando TIPO 00 W 340 P/L 0.60 Bolsas de 25 kg TIPO 0 Ideal para procesar hasta 12 horas de fermentación a temperatura ambiente o 48 horas en el refrigerador. Es adecuada para pizza clásica de fermentación media/larga.","MOLINO DALLA GIOVANNA","harinas","extracted_images/user_upload/image001__3_.jpg"
"MOLINA DALLAGIOVANNA FARINA 00 S PIZZA KG ROJA","MOLINA DALLAGIOVANNA FARINA 00 S PIZZA KG ROJA","","","S ROSSA: Harina de trigo blando TIPO 00 W 390 P/L 0.60 Sacos de 25 kg TIPO 0 Ideal para procesar hasta 16 horas de fermentación a temperatura ambiente o 72 horas en el refrigerador. Es adecuada para todas las producciones clásicas de pizza.","MOLINO DALLA GIOVANNA","harinas","extracted_images/fotos harina_0.png"
"MOLINA DALLA GIOVANNA FARINA PASTA GOLD TIPO 00 25 KG","MOLINA DALLA GIOVANNA FARINA PASTA GOLD TIPO 00","25 KG","","Nuestra harina TRIPLOCERO, blanquísima y elástica, permite mantener una óptima hidratación durante el amasado. Es una harina doble cero ""00"" especial para pasta fresca pero màs blanca y con menos cenizas. No da el efecto de punto gris a la pasta manteniendo por mucho más tiempo el color de recién hecha y por eso le hemos dado el nombre de Triplozero. Es un producto exclusivo Molino Dallagiovanna y tiene mucho èxito en Italia por la calidad de las pastas que se producen con ella.","MOLINO DALLA GIOVANNA","harinas","extracted_images/user_upload/mollino_dala_pasta.png"
"MOLINA DALLA GIOVANNA SEMOLA RIMACINATA 25 KG","MOLINA DALLA GIOVANNA SEMOLA RIMACINATA","25 KG","","SÉMOLA REMOLIDA: Harina de trigo duro, sacos de 25 kg. Más fina que la sémola extra, esta harina es ideal para hacer pan y también sirve para preparar otras masas caseras, como pasta. Se puede usar sola o mezclada con otros tipos de harina.","MOLINO DALLA GIOVANNA","harinas","extracted_images/user_upload/rimocitana.png"
"MOLINO DALLA GIOVANNA SEMOLA EXTRA 25 KG","MOLINO DALLA GIOVANNA SEMOLA EXTRA","25 KG","","SÉMOLA EXTRA: Harina de trigo duro. Sacos de 25 kg. Para la elaboración de pan y otras masas caseras, como pasta. Úsela sola o mézclela con otros tipos de harina.","MOLINO DALLA GIOVANNA","harinas","extracted_images/user_upload/image001__8_.png"
"MOLINO DALLA GIOVANNA GRANITO 5 KG","MOLINO DALLA GIOVANNA GRANITO","5 KG","","Granulada y bien calibrada para ñoquis, procesamiento a máquina y para dar textura a las salsas para pasta; también excelente como harina para espolvorear encimeras. Ideal para ñoquis, pasta fresca y para espolvorear encimeras.","MOLINO DALLA GIOVANNA","harinas","extracted_images/user_upload/ddc71694-b66d-49d4-9db7-2f9c51dd482d.png"
"LOTUS ORIG. BISC.CARAMELLATO GR 125X 20","LOTUS ORIG. BISC.CARAMELLATO GR 125X 20","","","","LOTUS BISCOFF","galletas","extracted_images/fotos galletas lotus biscoff_0.jpeg"
"LOTUS ORIG. BISC.CARAMELLATO GR 250 X10","LOTUS ORIG. BISC.CARAMELLATO GR 250","","10","","LOTUS BISCOFF","galletas","extracted_images/user_upload/da5ba828-b72c-498c-aca8-5b3996eecac3.jpeg"
"LOTUS ORIG.BISC. CARAM. POCKET 2 PZ X 6 X 12","LOTUS ORIG.BISC. CARAM. POCKET 2 PZ X 12","","6","","LOTUS BISCOFF","galletas","extracted_images/user_upload/lotus_bisc.jpeg"
"LOTUS BISCOFF SANDWICH BISC. CREMA GR 150 X 9","LOTUS BISCOFF SANDWICH BISC. CREMA GR 150","","9","","LOTUS BISCOFF","galletas","extracted_images/user_upload/lotus_sandwich.png"
